category,book_name,author,source,reason
Travel,It's Only the Himalayas,S. Bedford,OpenLibrary,
Travel,Under the Tuscan Sun,Frances Mayes,OpenLibrary,
Travel,A Summer In Europe,Marilyn Brant,OpenLibrary,
Travel,The Great Railway Bazaar,Paul Theroux,OpenLibrary,
Travel,"1,000 Places to See Before You Die",Patricia Schultz,OpenLibrary,
Mystery,Sharp Objects,Gillian Flynn,OpenLibrary,
Mystery,"In a Dark, Dark Wood",Ruth Ware,OpenLibrary,
Mystery,The Past Never Ends,Jackson Burnett,OpenLibrary,
Mystery,A Murder in Time,Julie McElwain,OpenLibrary,
Mystery,Most Wanted,Gaurav Upadhyay,OpenLibrary,
Mystery,The Widow,Georgette Heyer,OpenLibrary,
Mystery,Playing with Fire,Derek Landy,OpenLibrary,
Mystery,The Exiled,Cinda Williams Chima,OpenLibrary,
Mystery,The Girl You Lost,"Croft, Kathryn (Novelist)",OpenLibrary,
Historical Fiction,Tipping the Velvet,Sarah Waters,OpenLibrary,
Historical Fiction,The House by the Lake,Eleanor Farnes,OpenLibrary,
Historical Fiction,Mrs. Houdini,Victoria Kelly,OpenLibrary,
Historical Fiction,The Marriage of Opposites,Alice Hoffman,OpenLibrary,
Historical Fiction,"Love, Lies and Spies",Cindy Anstey,OpenLibrary,
Historical Fiction,A Paris Apartment,Michelle Gable,OpenLibrary,
Historical Fiction,Lilac Girls,Martha Hall Kelly,OpenLibrary,
Historical Fiction,The Invention of Wings,Sue Monk Kidd,OpenLibrary,
Historical Fiction,The Passion of Dolssa,Julie Berry,OpenLibrary,
Historical Fiction,Girl With a Pearl Earring,Tracy Chevalier,OpenLibrary,
Historical Fiction,The Red Tent,Anita Diamant,OpenLibrary,
Historical Fiction,The Last Painting of Sara de Vos,Dominic Smith,OpenLibrary,
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,OpenLibrary,
Historical Fiction,Girl in the Blue Coat,Monica Hesse,OpenLibrary,
Historical Fiction,Between Shades of Gray,Ruta Sepetys,OpenLibrary,
Historical Fiction,While You Were Mine,Ann Howard Creel,OpenLibrary,
Historical Fiction,The Secret Healer,Ellin Carsta,OpenLibrary,
Historical Fiction,Starlark,Cael Percy,OpenLibrary,
Historical Fiction,Lost Among the Living,Simone St. James,OpenLibrary,
Sequential Art,This One Summer,Mariko Tamaki,OpenLibrary,
Sequential Art,Patience,Isabel Miller,OpenLibrary,
Sequential Art,Camp Midnight,Steven T. Seagle,OpenLibrary,
Sequential Art,The Shadow Hero (The Shadow Hero),David A. Gemmell,OpenLibrary,
Sequential Art,Batman: The Long Halloween (Batman),Jeph Loeb,OpenLibrary,
Sequential Art,Through the Woods,Emily Carroll,OpenLibrary,
Sequential Art,Robin War,Tom King,OpenLibrary,
Sequential Art,El Deafo,Cece Bell,OpenLibrary,
Sequential Art,Art Ops Vol. 1,Shaun Simon,OpenLibrary,
Sequential Art,Roller Girl,Victoria Jamieson,OpenLibrary,
Sequential Art,Original Fake,Kirstin Cronn-Mills,OpenLibrary,
Sequential Art,Awkward,Svetlana Chmakova,OpenLibrary,
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",John Allison,OpenLibrary,
Classics,The Secret Garden,Frances Hodgson Burnett,OpenLibrary,
Classics,The Pilgrim's Progress,John Bunyan,OpenLibrary,
Classics,Little Women (Little Women #1),E. Disomma,OpenLibrary,
Classics,Gone with the Wind,Margaret Mitchell,OpenLibrary,
Classics,Candide,Voltaire,OpenLibrary,
Classics,Animal Farm,George Orwell,OpenLibrary,
Classics,Wuthering Heights,Emily Brontë,OpenLibrary,
Classics,The Picture of Dorian Gray,Oscar Wilde,OpenLibrary,
Classics,Beowulf,Seamus Heaney,OpenLibrary,
Classics,And Then There Were None,Agatha Christie,OpenLibrary,
Classics,The Story of Hong Gildong,Kyun Hŏ,OpenLibrary,
Classics,The Little Prince,Thomas Barichella,OpenLibrary,
Classics,Sense and Sensibility,Jane Austen,OpenLibrary,
Classics,Of Mice and Men,John Steinbeck,OpenLibrary,
Classics,Emma,Jane Austen,OpenLibrary,
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),Lewis Carroll,OpenLibrary,
Philosophy,Sophie's World,Jostein Gaarder,OpenLibrary,
Philosophy,The Stranger,Mark Twain,OpenLibrary,
Philosophy,Critique of Pure Reason,Immanuel Kant,OpenLibrary,
Philosophy,The Nicomachean Ethics,Aristotle,OpenLibrary,
Philosophy,Meditations,Marcus Aurelius,OpenLibrary,
Philosophy,Beyond Good and Evil,Friedrich Nietzsche,OpenLibrary,
Romance,Black Dust,Bruce Berglund,OpenLibrary,
Romance,The Wedding Dress,Danielle Steel,OpenLibrary,
Romance,Something More Than This,Barbie Bohrman,OpenLibrary,
Romance,"Sit, Stay, Love","Howard, J.J",OpenLibrary,
Romance,A Walk to Remember,Nicholas Sparks,OpenLibrary,
Romance,The Obsession,Danielle Lori,OpenLibrary,
Romance,Reservations for Two,Jennifer Lohmann,OpenLibrary,
Romance,"Rhythm, Chord & Malykhin",Mariana Zapata,OpenLibrary,
Romance,Imperfect Harmony,Joshua Coleman,OpenLibrary,
Womens Fiction,Will You Won't You Want Me?,Nora Zelevansky,OpenLibrary,
Womens Fiction,Keep Me Posted,Lisa Beazley,OpenLibrary,
Womens Fiction,Meternity,Meghann Foye,OpenLibrary,
Womens Fiction,Some Women,Erle Stanley Gardner,OpenLibrary,
Womens Fiction,Can You Keep a Secret?,Sophie Kinsella,OpenLibrary,
Womens Fiction,Twenties Girl,Sophie Kinsella,OpenLibrary,
Womens Fiction,The Undomestic Goddess,Sophie Kinsella,OpenLibrary,
Womens Fiction,The Nanny Diaries (Nanny #1),Emma McLaughlin,OpenLibrary,
Womens Fiction,I've Got Your Number,Sophie Kinsella,OpenLibrary,
Fiction,Soumission,Michel Houellebecq,OpenLibrary,
Fiction,"We Love You, Charlie Freeman",Kaitlyn Greenidge,OpenLibrary,
Fiction,Thirst,Golden Books,OpenLibrary,
Fiction,Tuesday Nights in 1980,Molly Prentiss,OpenLibrary,
Fiction,The Vacationers,Emma Straub,OpenLibrary,
Fiction,The Regional Office Is Under Attack!,Manuel Gonzales,OpenLibrary,
Fiction,The Time Keeper,Mitch Albom,OpenLibrary,
Fiction,The Testament of Mary,Colm Tóibín,OpenLibrary,
Fiction,Take Me with You,Ida Cook,OpenLibrary,
Fiction,Still Life with Bread Crumbs,Anna Quindlen,OpenLibrary,
Fiction,Shtum,Jem Lester,OpenLibrary,
Fiction,My Name Is Lucy Barton,Elizabeth Strout,OpenLibrary,
Fiction,My Mrs. Brown,Mr. William Norwich,OpenLibrary,
Fiction,Eight Hundred Grapes,Laura Dave,OpenLibrary,
Fiction,Dear Mr. Knightley,Katherine Reay,OpenLibrary,
Fiction,Balloon Animals,Megan Atwood,OpenLibrary,
Fiction,The Dinner Party,Neil Simon,OpenLibrary,
Fiction,The Improbability of Love,Hannah Rothschild,OpenLibrary,
Fiction,Mothering Sunday,Graham Swift,OpenLibrary,
Fiction,Lies and Other Acts of Love,Kristy Woodson Harvey,OpenLibrary,
Fiction,Daredevils,Rosemary Carter,OpenLibrary,
Fiction,11/22/63,Stephen King,OpenLibrary,
Fiction,The Shack,William P. Young,OpenLibrary,
Fiction,The High Mountains of Portugal,Yann Martel,OpenLibrary,
Fiction,Miller's Valley,Anna Quindlen,OpenLibrary,
Fiction,Hystopia: A Novel,David Means,OpenLibrary,
Fiction,Sister Dear,Kate William,OpenLibrary,
Fiction,Memoirs of a Geisha,Arthur Golden,OpenLibrary,
Fiction,Deception Point,Dan Brown,OpenLibrary,
Fiction,The Little Paris Bookshop,Nina George,OpenLibrary,
Fiction,The Firm,John Grisham,OpenLibrary,
Fiction,The Expatriates,Janice Y. K. Lee,OpenLibrary,
Fiction,Siddhartha,Hermann Hesse,OpenLibrary,
Fiction,Digital Fortress,Dan Brown,OpenLibrary,
Fiction,Atlas Shrugged,Ayn Rand,OpenLibrary,
Fiction,Three-Martini Lunch,Suzanne Rindell,OpenLibrary,
Fiction,The Nightingale,Kristin Hannah,OpenLibrary,
Fiction,The Infinities,Robert Kanigel,OpenLibrary,
Fiction,The Husband's Secret,Liane Moriarty,OpenLibrary,
Fiction,The Art of Fielding,Chad Harbach,OpenLibrary,
Fiction,Big Little Lies,Liane Moriarty,OpenLibrary,
Fiction,The Course of Love,Alain De Botton,OpenLibrary,
Fiction,When I'm Gone,anouar el attari,OpenLibrary,
Fiction,The Silent Wife,A. S. A. Harrison,OpenLibrary,
Fiction,The Bette Davis Club,Jane Lotter,OpenLibrary,
Fiction,Kitchens of the Great Midwest,J. Ryan Stradal,OpenLibrary,
Fiction,Bright Lines,Mountain,OpenLibrary,
Childrens,The Bear and the Piano,David Litchfield,OpenLibrary,
Childrens,The Secret of Dreadwillow Carse,Brian Farrey,OpenLibrary,
Childrens,Little Red,Audrey Wood,OpenLibrary,
Childrens,Walt Disney's Alice in Wonderland,Teddy Slater,OpenLibrary,
Childrens,Twenty Yawns,Jane Smiley,OpenLibrary,
Childrens,Rain Fish,Jerry Dennis,OpenLibrary,
Childrens,Once Was a Time,Leila Sales,OpenLibrary,
Childrens,Luis Paints the World,Terry Farish,OpenLibrary,
Childrens,Nap-a-Roo,Kristy Kurjan,OpenLibrary,
Childrens,The Whale,Julia Donaldson,OpenLibrary,
Childrens,Raymie Nightingale,Kate DiCamillo,OpenLibrary,
Childrens,Playing from the Heart,Roger Crawford,OpenLibrary,
Childrens,The Wild Robot,Peter Brown,OpenLibrary,
Childrens,The Thing About Jellyfish,Ali Benjamin,OpenLibrary,
Childrens,The Lonely Ones,Louis L'Amour,OpenLibrary,
Childrens,The Day the Crayons Came Home (Crayons),Drew Daywalt,OpenLibrary,
Childrens,Red: The True Story of Red Riding Hood,Liesl Shurtliff,OpenLibrary,
Childrens,Horrible Bear!,"Dyckman, Ame",OpenLibrary,
Childrens,Counting Thyme,Melanie Conklin,OpenLibrary,
Childrens,Are We There Yet?,David Levithan,OpenLibrary,
Childrens,Matilda,Roald Dahl,OpenLibrary,
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Brad Warner,OpenLibrary,
Religion,The Book of Mormon,"Joseph Smith, Jr.",OpenLibrary,
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Worth Books,OpenLibrary,
Religion,The Bhagavad Gita,Juan Mascaró,OpenLibrary,
Nonfiction,Reasons to Stay Alive,Matt Haig,OpenLibrary,
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Worth Books Staff,OpenLibrary,
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,OpenLibrary,
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,Worth Books,OpenLibrary,
Nonfiction,The Genius of Birds,Jennifer Ackerman,OpenLibrary,
Nonfiction,So You've Been Publicly Shamed,Jon Ronson,OpenLibrary,
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,OpenLibrary,
Nonfiction,The Year of Magical Thinking,Joan Didion,OpenLibrary,
Nonfiction,Looking for Lovely: Collecting the Moments that Matter,Annie F. Downs,OpenLibrary,
