category,book_name,author
Travel,It's Only the Himalayas,S. Bedford
Travel,Under the Tuscan Sun,Frances Mayes
Travel,A Summer In Europe,Marilyn Brant
Travel,The Great Railway Bazaar,Paul Theroux
Travel,"1,000 Places to See Before You Die",Patricia Schultz
Mystery,Sharp Objects,Gillian Flynn
Mystery,"In a Dark, Dark Wood",Ruth Ware
Mystery,The Past Never Ends,Jackson Burnett
Mystery,A Murder in Time,Julie McElwain
Mystery,Most Wanted,Gaurav Upadhyay
Mystery,The Widow,Georgette Heyer
Mystery,Playing with Fire,Derek Landy
Mystery,The Exiled,Cinda Williams Chima
Mystery,The Girl You Lost,"Croft, Kathryn (Novelist)"
Historical Fiction,Tipping the Velvet,Sarah Waters
Historical Fiction,The House by the Lake,Eleanor Farnes
Historical Fiction,Mrs. Houdini,Victoria Kelly
Historical Fiction,The Marriage of Opposites,Alice Hoffman
Historical Fiction,"Love, Lies and Spies",Cindy Anstey
Historical Fiction,A Paris Apartment,Michelle Gable
Historical Fiction,Lilac Girls,Martha Hall Kelly
Historical Fiction,The Invention of Wings,Sue Monk Kidd
Historical Fiction,The Passion of Dolssa,Julie Berry
Historical Fiction,Girl With a Pearl Earring,Tracy Chevalier
Historical Fiction,The Red Tent,Anita Diamant
Historical Fiction,The Last Painting of Sara de Vos,Dominic Smith
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer
Historical Fiction,Girl in the Blue Coat,Monica Hesse
Historical Fiction,Between Shades of Gray,Ruta Sepetys
Historical Fiction,While You Were Mine,Ann Howard Creel
Historical Fiction,The Secret Healer,Ellin Carsta
Historical Fiction,Starlark,Cael Percy
Historical Fiction,Lost Among the Living,Simone St. James
Sequential Art,This One Summer,Mariko Tamaki
Sequential Art,Patience,Isabel Miller
Sequential Art,Camp Midnight,Steven T. Seagle
Sequential Art,The Shadow Hero (The Shadow Hero),David A. Gemmell
Sequential Art,Batman: The Long Halloween (Batman),Jeph Loeb
Sequential Art,Through the Woods,Emily Carroll
Sequential Art,Robin War,Tom King
Sequential Art,El Deafo,Cece Bell
Sequential Art,Art Ops Vol. 1,Shaun Simon
Sequential Art,Roller Girl,Victoria Jamieson
Sequential Art,Original Fake,Kirstin Cronn-Mills
Sequential Art,Awkward,Svetlana Chmakova
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",John Allison
Classics,The Secret Garden,Frances Hodgson Burnett
Classics,The Pilgrim's Progress,John Bunyan
Classics,Little Women (Little Women #1),E. Disomma
Classics,Gone with the Wind,Margaret Mitchell
Classics,Candide,Voltaire
Classics,Animal Farm,George Orwell
Classics,Wuthering Heights,Emily Brontë
Classics,The Picture of Dorian Gray,Oscar Wilde
Classics,Beowulf,Seamus Heaney
Classics,And Then There Were None,Agatha Christie
Classics,The Story of Hong Gildong,Kyun Hŏ
Classics,The Little Prince,Thomas Barichella
Classics,Sense and Sensibility,Jane Austen
Classics,Of Mice and Men,John Steinbeck
Classics,Emma,Jane Austen
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),Lewis Carroll
Philosophy,Sophie's World,Jostein Gaarder
Philosophy,The Stranger,Mark Twain
Philosophy,Critique of Pure Reason,Immanuel Kant
Philosophy,The Nicomachean Ethics,Aristotle
Philosophy,Meditations,Marcus Aurelius
Philosophy,Beyond Good and Evil,Friedrich Nietzsche
Romance,Black Dust,Bruce Berglund
Romance,The Wedding Dress,Danielle Steel
Romance,Something More Than This,Barbie Bohrman
Romance,"Sit, Stay, Love","Howard, J.J"
Romance,A Walk to Remember,Nicholas Sparks
Romance,The Obsession,Danielle Lori
Romance,Reservations for Two,Jennifer Lohmann
Romance,"Rhythm, Chord & Malykhin",Mariana Zapata
Romance,Imperfect Harmony,Joshua Coleman
Womens Fiction,Will You Won't You Want Me?,Nora Zelevansky
Womens Fiction,Keep Me Posted,Lisa Beazley
Womens Fiction,Meternity,Meghann Foye
Womens Fiction,Some Women,Erle Stanley Gardner
Womens Fiction,Can You Keep a Secret?,Sophie Kinsella
Womens Fiction,Twenties Girl,Sophie Kinsella
Womens Fiction,The Undomestic Goddess,Sophie Kinsella
Womens Fiction,The Nanny Diaries (Nanny #1),Emma McLaughlin
Womens Fiction,I've Got Your Number,Sophie Kinsella
Fiction,Soumission,Michel Houellebecq
Fiction,"We Love You, Charlie Freeman",Kaitlyn Greenidge
Fiction,Thirst,Golden Books
Fiction,Tuesday Nights in 1980,Molly Prentiss
Fiction,The Vacationers,Emma Straub
Fiction,The Regional Office Is Under Attack!,Manuel Gonzales
Fiction,The Time Keeper,Mitch Albom
Fiction,The Testament of Mary,Colm Tóibín
Fiction,Take Me with You,Ida Cook
Fiction,Still Life with Bread Crumbs,Anna Quindlen
Fiction,Shtum,Jem Lester
Fiction,My Name Is Lucy Barton,Elizabeth Strout
Fiction,My Mrs. Brown,Mr. William Norwich
Fiction,Eight Hundred Grapes,Laura Dave
Fiction,Dear Mr. Knightley,Katherine Reay
Fiction,Balloon Animals,Megan Atwood
Fiction,The Dinner Party,Neil Simon
Fiction,The Improbability of Love,Hannah Rothschild
Fiction,Mothering Sunday,Graham Swift
Fiction,Lies and Other Acts of Love,Kristy Woodson Harvey
Fiction,Daredevils,Rosemary Carter
Fiction,11/22/63,Stephen King
Fiction,The Shack,William P. Young
Fiction,The High Mountains of Portugal,Yann Martel
Fiction,Miller's Valley,Anna Quindlen
Fiction,Hystopia: A Novel,David Means
Fiction,Sister Dear,Kate William
Fiction,Memoirs of a Geisha,Arthur Golden
Fiction,Deception Point,Dan Brown
Fiction,The Little Paris Bookshop,Nina George
Fiction,The Firm,John Grisham
Fiction,The Expatriates,Janice Y. K. Lee
Fiction,Siddhartha,Hermann Hesse
Fiction,Digital Fortress,Dan Brown
Fiction,Atlas Shrugged,Ayn Rand
Fiction,Three-Martini Lunch,Suzanne Rindell
Fiction,The Nightingale,Kristin Hannah
Fiction,The Infinities,Robert Kanigel
Fiction,The Husband's Secret,Liane Moriarty
Fiction,The Art of Fielding,Chad Harbach
Fiction,Big Little Lies,Liane Moriarty
Fiction,The Course of Love,Alain De Botton
Fiction,When I'm Gone,anouar el attari
Fiction,The Silent Wife,A. S. A. Harrison
Fiction,The Bette Davis Club,Jane Lotter
Fiction,Kitchens of the Great Midwest,J. Ryan Stradal
Fiction,Bright Lines,Mountain
Childrens,The Bear and the Piano,David Litchfield
Childrens,The Secret of Dreadwillow Carse,Brian Farrey
Childrens,Little Red,Audrey Wood
Childrens,Walt Disney's Alice in Wonderland,Teddy Slater
Childrens,Twenty Yawns,Jane Smiley
Childrens,Rain Fish,Jerry Dennis
Childrens,Once Was a Time,Leila Sales
Childrens,Luis Paints the World,Terry Farish
Childrens,Nap-a-Roo,Kristy Kurjan
Childrens,The Whale,Julia Donaldson
Childrens,Raymie Nightingale,Kate DiCamillo
Childrens,Playing from the Heart,Roger Crawford
Childrens,The Wild Robot,Peter Brown
Childrens,The Thing About Jellyfish,Ali Benjamin
Childrens,The Lonely Ones,Louis L'Amour
Childrens,The Day the Crayons Came Home (Crayons),Drew Daywalt
Childrens,Red: The True Story of Red Riding Hood,Liesl Shurtliff
Childrens,Horrible Bear!,"Dyckman, Ame"
Childrens,Counting Thyme,Melanie Conklin
Childrens,Are We There Yet?,David Levithan
Childrens,Matilda,Roald Dahl
Religion,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Brad Warner
Religion,The Book of Mormon,"Joseph Smith, Jr."
Religion,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Worth Books
Religion,The Bhagavad Gita,Juan Mascaró
Nonfiction,Reasons to Stay Alive,Matt Haig
Nonfiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Worth Books Staff
Nonfiction,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
Nonfiction,The Omnivore's Dilemma: A Natural History of Four Meals,Worth Books
Nonfiction,The Genius of Birds,Jennifer Ackerman
Nonfiction,So You've Been Publicly Shamed,Jon Ronson
Nonfiction,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown
Nonfiction,The Year of Magical Thinking,Joan Didion
Nonfiction,Looking for Lovely: Collecting the Moments that Matter,Annie F. Downs
Nonfiction,Hamilton: The Revolution,John D. Barnhart
Nonfiction,Brain on Fire: My Month of Madness,Paul Adams / Bookhabits
Nonfiction,Abstract City,J. E. Carlock
Nonfiction,The Diary of a Young Girl,Anne Frank
Nonfiction,"Mother, Can You Not?",Kate Friedman
Nonfiction,"Zero to One: Notes on Startups, or How to Build the Future",Whizbooks
Nonfiction,Why Not Me?,Mindy Kaling
Nonfiction,When Breath Becomes Air,Paul Kalanithi
Nonfiction,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Worth Books
Nonfiction,Rising Strong,Brené Brown
Nonfiction,Man's Search for Meaning,Viktor E. Frankl
Nonfiction,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Ron Fournier
Nonfiction,I Will Find You,Harlan Coben
Nonfiction,Between the World and Me,Ta-Nehisi Coates
Nonfiction,Being Mortal: Medicine and What Matters in the End,EssentialReads
Nonfiction,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks
Nonfiction,In Cold Blood,Truman Capote
Nonfiction,"Girl, Interrupted",Susanna Kaysen
Nonfiction,My Mother Was Nuts,Penny Marshall
Nonfiction,The Gunning of America: Business and the Making of American Gun Culture,Pamela Haag
Nonfiction,Under the Banner of Heaven: A Story of Violent Faith,Jon Jon
Nonfiction,The Name of God is Mercy,Francis Pope
Nonfiction,Stiff: The Curious Lives of Human Cadavers,Worth Books
Nonfiction,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Worth Books
Nonfiction,Outliers: The Story of Success,BookCaps Study Guides Staff
Nonfiction,Letter to a Christian Nation,Sam Harris
Nonfiction,Into the Wild,Erin Hunter
Nonfiction,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai
Nonfiction,Gratitude,Motwani Dev Motwani Dev Publishing
