Category,Book Title,UPC,Price,ISBN_13,ISBN_10,ISBN_Source,ISBN_Status
Poetry,A Light in the Attic,a897fe39b1053632,Â£51.77,9780062999702,0062999702,google_books,fallback_used
Historical Fiction,Tipping the Velvet,90fa61229261140a,Â£53.74,9780748129324,0748129324,google_books,fallback_used
Fiction,Soumission,6957f44c3847a760,Â£50.10,9789004498136,9004498133,google_books,fallback_used
Mystery,Sharp Objects,e00eb4fd7b871a48,Â£47.82,9780307351487,0307351483,google_books,fallback_used
History,Sapiens: A Brief History of Humankind,4165285e1663650f,Â£54.23,9780062316103,0062316109,google_books,fallback_used
Young Adult,The Requiem Red,f77dbf2323deb740,Â£22.65,9780755395842,0755395840,google_books,fallback_used
Business,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,Â£33.34,9781942872764,1942872763,google_books,fallback_used
Default,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,Â£17.93,9781941644119,1941644112,google_books,fallback_used
Default,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,Â£22.60,9781101622742,1101622741,google_books,fallback_used
Poetry,The Black Maria,1dfe412b8ac00530,Â£52.15,9781908717023,1908717025,google_books,fallback_used
Default,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,Â£13.99,9789865163952,9865163950,google_books,fallback_used
Poetry,Shakespeare's Sonnets,30a7f60cd76ca58c,Â£20.66,9781788880152,1788880153,google_books,fallback_used
Young Adult,Set Me Free,ce6396b0f23f6ecc,Â£17.46,9798385208630,,google_books,fallback_used
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,Â£52.29,9781620100431,1620100436,google_books,fallback_used
Music,Rip it Up and Start Again,a34ba96d4081e6a4,Â£35.02,9780571252275,0571252273,google_books,fallback_used
Music,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,Â£57.25,9780316247184,0316247189,google_books,fallback_used
Science Fiction,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,Â£37.59,9781933747576,1933747579,google_books,fallback_used
Politics,Libertarianism for Beginners,a18a4f574854aced,Â£51.33,9781939994677,1939994675,google_books,fallback_used
Travel,It's Only the Himalayas,a22124811bfa8350,Â£45.17,9781927366486,1927366488,google_books,fallback_used
Thriller,In Her Wake,23356462d1320d61,Â£12.84,9781495627736,149562773X,google_books,fallback_used
Music,How Music Works,327f68a59745c102,Â£37.32,9780804188944,0804188947,google_books,fallback_used
