book_id,title,price,adjusted_price,price_change_pct,similarity_score,availability,demand_level,stock_level,profit_or_loss
1,It's Only the Himalayas,45.17,42.91,-0.05,0.01,19,Low,Medium Stock,Loss
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,46.96,-0.05,0.0153,15,Low,Medium Stock,Loss
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,48.87,0.0,0.038,14,Medium,Medium Stock,Neutral
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,38.79,0.05,0.0223,8,Medium,Low Stock,Profit
5,Under the Tuscan Sun,37.33,35.46,-0.05,0.018,7,Low,Low Stock,Loss
6,A Summer In Europe,44.34,46.56,0.05,0.0234,7,Medium,Low Stock,Profit
7,The Great Railway Bazaar,30.54,36.65,0.2,0.0983,6,High,Low Stock,Profit
8,A Year in Provence (Provence #1),56.88,68.26,0.2,0.0643,6,High,Low Stock,Profit
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,27.85,0.2,0.0537,3,High,Low Stock,Profit
10,Neither Here nor There: Travels in Europe,38.95,37.0,-0.05,0.0175,3,Low,Low Stock,Loss
11,"1,000 Places to See Before You Die",26.08,27.38,0.05,0.0247,1,Medium,Low Stock,Profit
12,Sharp Objects,47.82,45.43,-0.05,0.0154,20,Low,Medium Stock,Loss
13,"In a Dark, Dark Wood",19.63,18.65,-0.05,0.0189,18,Low,Medium Stock,Loss
14,The Past Never Ends,56.5,56.5,0.0,0.0457,16,Medium,Medium Stock,Neutral
15,A Murder in Time,16.64,16.64,0.0,0.048,16,Medium,Medium Stock,Neutral
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,44.1,0.0,0.0252,15,Medium,Medium Stock,Neutral
17,The Last Mile (Amos Decker #2),54.21,51.5,-0.05,0.0101,14,Low,Medium Stock,Loss
18,That Darkness (Gardiner and Renner #1),13.92,13.92,0.0,0.0294,14,Medium,Medium Stock,Neutral
19,Tastes Like Fear (DI Marnie Rome #3),10.69,10.16,-0.05,0.0142,14,Low,Medium Stock,Loss
20,A Time of Torment (Charlie Parker #14),48.35,48.35,0.0,0.0386,14,Medium,Medium Stock,Neutral
21,A Study in Scarlet (Sherlock Holmes #1),16.73,16.73,0.0,0.0452,14,Medium,Medium Stock,Neutral
22,Poisonous (Max Revere Novels #3),26.8,25.46,-0.05,0.0193,12,Low,Medium Stock,Loss
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,54.36,0.0,0.0471,12,Medium,Medium Stock,Neutral
24,Most Wanted,35.28,33.52,-0.05,0.0,12,Low,Medium Stock,Loss
25,Hide Away (Eve Duncan #20),11.84,11.84,0.0,0.0372,12,Medium,Medium Stock,Neutral
26,Boar Island (Anna Pigeon #19),59.48,59.48,0.0,0.0393,12,Medium,Medium Stock,Neutral
27,The Widow,27.26,29.99,0.1,0.0501,11,High,Medium Stock,Profit
28,Playing with Fire,13.71,13.02,-0.05,0.012,11,Low,Medium Stock,Loss
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,24.1,-0.05,0.0151,7,Low,Low Stock,Loss
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,54.92,0.05,0.0256,7,Medium,Low Stock,Profit
31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,21.93,0.05,0.0291,7,Medium,Low Stock,Profit
32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,26.04,0.05,0.0464,6,Medium,Low Stock,Profit
33,In the Woods (Dublin Murder Squad #1),38.38,36.46,-0.05,0.0124,6,Low,Low Stock,Loss
34,The Silkworm (Cormoran Strike #2),23.05,24.2,0.05,0.0261,3,Medium,Low Stock,Profit
35,The Exiled,43.45,41.28,-0.05,0.0196,3,Low,Low Stock,Loss
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,18.25,-0.05,0.0032,3,Low,Low Stock,Loss
37,Extreme Prey (Lucas Davenport #26),25.4,24.13,-0.05,0.012,3,Low,Low Stock,Loss
38,Career of Evil (Cormoran Strike #3),24.72,25.96,0.05,0.0331,3,Medium,Low Stock,Profit
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,69.24,0.2,0.1384,1,High,Low Stock,Profit
40,The Girl You Lost,12.29,12.9,0.05,0.0286,1,Medium,Low Stock,Profit
41,The Girl In The Ice (DCI Erika Foster #1),15.85,16.64,0.05,0.0206,1,Medium,Low Stock,Profit
42,Blood Defense (Samantha Brinkman #1),20.3,21.32,0.05,0.0314,1,Medium,Low Stock,Profit
43,1st to Die (Women's Murder Club #1),53.98,56.68,0.05,0.0298,1,Medium,Low Stock,Profit
44,Tipping the Velvet,53.74,53.74,0.0,0.043,20,Medium,Medium Stock,Neutral
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,29.69,0.0,0.0365,16,Medium,Medium Stock,Neutral
46,A Flight of Arrows (The Pathfinders #2),55.53,52.75,-0.05,0.0087,16,Low,Medium Stock,Loss
47,The House by the Lake,36.95,36.95,0.0,0.0251,15,Medium,Medium Stock,Neutral
48,Mrs. Houdini,30.25,30.25,0.0,0.0214,15,Medium,Medium Stock,Neutral
49,The Marriage of Opposites,28.08,26.68,-0.05,0.0183,14,Low,Medium Stock,Loss
50,Glory over Everything: Beyond The Kitchen House,45.84,43.55,-0.05,0.0155,14,Low,Medium Stock,Loss
51,"Love, Lies and Spies",20.55,19.52,-0.05,0.0,12,Low,Medium Stock,Loss
52,A Paris Apartment,39.01,39.01,0.0,0.0283,12,Medium,Medium Stock,Neutral
